Voltage (V),Current (μA)
0.0,0.019011769995679967
0.02040816326530612,-0.10115340085721437
0.04081632653061224,-0.06441531373709515
0.061224489795918366,0.045490201769882804
0.08163265306122448,0.02568144612913435
0.1020408163265306,0.0181274144232287
0.12244897959183673,-0.026186177452036757
0.14285714285714285,0.05294369010129867
0.16326530612244897,0.0008079130198331294
0.18367346938775508,0.056230929139561854
0.2040816326530612,0.11210668803304989
0.22448979591836732,0.0388181834467137
0.24489795918367346,-0.12769471083698794
0.26530612244897955,0.004583486241284365
0.2857142857142857,0.06885128452499908
0.3061224489795918,0.05670708093197044
0.32653061224489793,0.047702867965276785
0.3469387755102041,0.17208111800903209
0.36734693877551017,0.2596935316378149
0.3877551020408163,0.4007895818997873
0.4081632653061224,0.6822236597628779
0.42857142857142855,1.0119407159835367
0.44897959183673464,1.290341101634283
0.4693877551020408,1.5515185680315273
0.4897959183673469,2.1496511279958535
0.5102040816326531,2.631049519446624
0.5306122448979591,3.236471391340729
0.5510204081632653,3.5058018761824616
0.5714285714285714,3.78047378994491
0.5918367346938775,4.007251939165467
0.6122448979591836,4.005164315933367
0.6326530612244897,3.7226500086490018
0.6530612244897959,3.5010236256419196
0.673469387755102,3.1581845073981936
0.6938775510204082,2.5625050080550626
0.7142857142857142,2.0851453818412105
0.7346938775510203,1.628185844016148
0.7551020408163265,1.185807907104597
0.7755102040816326,0.832359868085756
0.7959183673469387,0.5799998936944308
0.8163265306122448,0.44803258360058723
0.836734693877551,0.21292488200655957
0.8571428571428571,0.17569196687163333
0.8775510204081632,0.08515728016101679
0.8979591836734693,0.017903265787698422
0.9183673469387754,0.053429568217876686
0.9387755102040816,0.014072309741912573
0.9591836734693877,-0.010116216700269706
0.9795918367346939,0.05090432036793733
1.0,0.009266400931985705
1.0,0.06742322162135048
0.9795918367346939,-0.07083708437589677
0.9591836734693877,0.016631588341537867
0.9387755102040817,-0.020517871464163593
0.9183673469387755,0.04267078015308653
0.8979591836734694,-0.04306770768716947
0.8775510204081632,-0.009441094934090354
0.8571428571428572,0.012285946285337381
0.8367346938775511,-0.14582632223243358
0.8163265306122449,-0.035961514146958855
0.7959183673469388,0.012843989900002808
0.7755102040816326,-0.020565321721685854
0.7551020408163265,-0.12290092351163251
0.7346938775510204,-0.0016423884995998735
0.7142857142857143,-0.0015605698237841081
0.6938775510204083,-0.03863128873525104
0.6734693877551021,-0.10633077458166475
0.653061224489796,-0.14325521812035083
0.6326530612244898,-0.27045439128219356
0.6122448979591837,-0.35619637243261565
0.5918367346938775,-0.5344878616347157
0.5714285714285714,-0.6863759620678324
0.5510204081632654,-0.9315470656770516
0.5306122448979592,-1.1819070546683355
0.5102040816326531,-1.6777324837412213
0.4897959183673469,-2.020453326922759
0.4693877551020409,-2.3830034682646577
0.44897959183673475,-2.6759396924165793
0.4285714285714286,-2.8460596020671796
0.40816326530612246,-2.997837298203262
0.3877551020408164,-2.9952293911785977
0.3673469387755103,-2.8675967207086313
0.34693877551020413,-2.564389948181642
0.326530612244898,-2.2341073777864864
0.30612244897959184,-1.8759707661767977
0.2857142857142858,-1.6006394494770086
0.26530612244897966,-1.156406185086074
0.24489795918367352,-0.8968247093832646
0.22448979591836737,-0.6283664418800495
0.20408163265306134,-0.41848437248561504
0.1836734693877552,-0.29120339512913884
0.16326530612244905,-0.1351637571444831
0.1428571428571429,-0.04742529511843316
0.12244897959183676,-0.0329336864658185
0.10204081632653073,-0.10769115767250616
0.08163265306122458,-0.08278328758292272
0.061224489795918435,-0.0174233377870641
0.04081632653061229,-0.018542196022488754
0.020408163265306145,-0.06321484607495752
0.0,-0.03675908863038747
