Time (s),Sensor Reading
0.0,0.031173692790552564
1.0,-0.0128355620134122
2.0,0.009921770431318222
3.0,-0.02643318308779852
4.0,-0.03635296294603259
5.0,0.00216259297089712
6.0,0.008618291874784655
7.0,-0.02077334684059961
8.0,-0.004285910536900774
9.0,-0.00765714780704901
10.0,0.0027627157238678235
11.0,0.014118526229167051
12.0,0.0006004969784373275
13.0,0.014177677751930793
14.0,-0.012611342563423857
15.0,0.015254532866331865
16.0,0.013928213650549599
17.0,-0.013357286596437272
18.0,0.007438508677748276
19.0,-0.0037903040868157677
20.0,0.009273628149865156
21.0,0.002838462499430877
22.0,0.004040565506226473
23.0,0.035095926589734525
24.0,0.003468204418155367
25.0,0.07185113253123845
26.0,0.01295355313469232
27.0,0.03661064342430018
28.0,0.04448092902086314
29.0,0.06601230077309435
30.0,0.09343626162431481
31.0,0.07144926101555224
32.0,0.107415337985697
33.0,0.09962052811131684
34.0,0.09764915199646675
35.0,0.1533763585225722
36.0,0.14283114648838624
37.0,0.1919737540431759
38.0,0.17910015104677293
39.0,0.2306342660208509
40.0,0.23761231821130918
41.0,0.20846854629721495
42.0,0.2719117550810145
43.0,0.2726994954878146
44.0,0.3000896997311783
45.0,0.279938330265488
46.0,0.3241989034015257
47.0,0.32013354970793007
48.0,0.3572860181995199
49.0,0.3692646014121843
50.0,0.4288312239156672
51.0,0.39835234248668694
52.0,0.40605272968974776
53.0,0.4248969090047252
54.0,0.484813651282416
55.0,0.4858988200041634
56.0,0.4960236085923402
57.0,0.4707494343698568
58.0,0.4863804983736271
59.0,0.4428212688945715
60.0,0.5276734796196956
61.0,0.4735181501476916
62.0,0.4774379041552788
63.0,0.4770562009229521
64.0,0.4833809461676719
65.0,0.4527210294139319
66.0,0.4406259297857647
67.0,0.4391839517813484
68.0,0.4286084991457101
69.0,0.39508083895860874
70.0,0.4276749812136512
71.0,0.3781519246345766
72.0,0.38950694188682244
73.0,0.3487071386234364
74.0,0.319070859720908
75.0,0.2998068025802766
76.0,0.26477424586264225
77.0,0.255819965759056
78.0,0.2774977148598045
79.0,0.20420797607943386
80.0,0.21401708963459684
81.0,0.20153364804375948
82.0,0.12913590746302211
83.0,0.11270243948721298
84.0,0.10913393559754248
85.0,0.13930124188154058
86.0,0.10467613761058754
87.0,0.0703728875520348
88.0,0.06871548306692277
89.0,0.1099728831697171
90.0,0.0859606232635642
91.0,0.04553428282182633
92.0,0.0762061961962289
93.0,-0.02520939810037292
94.0,0.06124894727681072
95.0,0.030544137326256805
96.0,0.031307402640040186
97.0,0.03114803158699629
98.0,0.004903263039887227
99.0,0.02314286436294094
100.0,0.005041776582910953
101.0,0.021580655296688116
102.0,0.03182898294407013
103.0,0.020258354986750285
104.0,0.007237537558239953
105.0,0.018906803591549913
106.0,0.013638163830625077
107.0,-0.006332861563310838
108.0,0.009464168799310977
109.0,-0.0051165802636230565
110.0,-0.031792214195806384
111.0,-0.02852893670038966
112.0,0.013260175869774904
113.0,-0.004147123886179683
114.0,-0.009826433635084373
115.0,0.005836278836001238
116.0,-0.009842313774856446
117.0,-0.0005682096275274317
118.0,-0.013010263623877106
119.0,-0.005194067299261953
120.0,-0.01658987521262194
